feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
technical_plus_textblob,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
technical_plus_textblob,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
technical_plus_textblob,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
technical_plus_textblob,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4723320158102767,0.41533546325878595,0.6074766355140186,0.49335863377609107,0.4831327614902061,-0.019563895392209322
technical_plus_textblob,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5306930693069307,0.5258964143426295,0.528,0.5269461077844312,0.5347294117647059,0.061331409240871854
technical_plus_textblob,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.48060344827586204,0.5057034220532319,0.5450819672131147,0.52465483234714,0.47496274217585693,-0.046179896004650216
technical_plus_textblob,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.48026315789473684,0.5294117647058824,0.43373493975903615,0.4768211920529801,0.49684729255184995,-0.030072584645270906
technical_plus_textblob,logistic_regression,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.43209876543209874,0.3385093167701863,0.6337209302325582,0.44129554655870445,0.4627092282624796,-0.04512717375829009
technical_plus_textblob,random_forest,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5197628458498024,0.44569288389513106,0.5560747663551402,0.49480249480249483,0.48854180002560493,0.048711716959281205
technical_plus_textblob,random_forest,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5188118811881188,0.5202312138728323,0.36,0.425531914893617,0.5041882352941176,0.0363572053251599
